start_station_name,value
Grove St PATH,42551
South Waterfront Walkway - Sinatra Dr & 1 St,34245
Hoboken Terminal - River St & Hudson Pl,33020
Hoboken Terminal - Hudson St & Hudson Pl,30244
City Hall - Washington St & 1 St,23289
Newport Pkwy,21960
Hamilton Park,20477
Newport PATH,19965
Hoboken Ave at Monmouth St,19500
Marin Light Rail,19229
12 St & Sinatra Dr N,17137
14 St Ferry - 14 St & Shipyard Ln,17066
Columbus Dr at Exchange Pl,16730
Hudson St & 4 St,15882
Harborside,15753
11 St & Washington St,15502
Washington St,15101
Liberty Light Rail,14563
8 St & Washington St,14423
Madison St & 1 St,14124
